control_id,parameter,true_value,mean_estimate,bias,sd,mcse,pair_sd,fold_sd,estimability_rate,run_id,run_tier,paper_result,experiment_id,module_id,analysis_tier,code_commit,config_hash,source_code_hash,calibration_hash,result_schema,seed_or_replication
affine_linked,intercept,0.2,0.2000143330022043,1.4333002204325318e-05,0.0028152557591913,5.935080263300702e-06,7.682032032294281e-05,8.542806573399594e-06,1.0,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_c_calibration_controls,diagnostic,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
affine_linked,slope,1.5,1.4999922698108588,-7.730189141241794e-06,0.0070775414102675,1.4920767393737132e-05,0.0001872831082417,2.040799294376854e-05,1.0,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_c_calibration_controls,diagnostic,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
