seed,delay_state_coupling_beta,arrival_time_naive,source_labelled_reference,mean_delay,pending_at_horizon,pending_fraction,source_state_mismatch,ranking_reversal_rate,source_binding_advantage
0,0.0,0.5575843400484602,0.2745281812420079,2.0,2,0.0004,0.1836475487139847,0.0630252100840336,0.28305615880645235
0,0.25,0.5777556319253808,0.2671825189075989,2.0,4,0.0008,0.2098375728416838,0.0836669335468374,0.3105731130177819
0,0.5,0.5863643307049151,0.2722468017613226,2.0,4,0.0008,0.2384050877162604,0.1076861489191353,0.3141175289435925
0,1.0,0.5198080706796163,0.2728693830414813,2.0,4,0.0008,0.2916734801358092,0.1501200960768615,0.24693868763813503
0,1.5,0.5740448298215433,0.2636991852920163,2.0,7,0.0014,0.3063625052584935,0.1634288003204486,0.31034564452952695
0,2.0,0.6171802271226542,0.2715466098115454,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,0.3456336173111088
0,3.0,0.5822862762493566,0.2622577033289308,2.0,6,0.0012,0.3087553829117957,0.1635963155786944,0.3200285729204258
1,0.0,0.588682131107597,0.282639197092097,2.0,2,0.0004,0.1821514652350679,0.0670268107242897,0.30604293401550003
1,0.25,0.5909946624666473,0.2788382569854745,2.0,2,0.0004,0.2056862785783244,0.0858343337334934,0.31215640548117285
1,0.5,0.6042122229388844,0.2773611281429601,2.0,3,0.0006,0.2318849232421942,0.1070642385431258,0.32685109479592434
1,1.0,0.5906991193542428,0.2848010774109724,2.0,5,0.001,0.2843728982504286,0.1493493493493493,0.3058980419432704
1,1.5,0.6228396177895433,0.2731663803905795,2.0,6,0.0012,0.3054230336543951,0.1659991990388466,0.34967323739896383
1,2.0,0.6132363305526574,0.2741688887136372,2.0,6,0.0012,0.3045664778659978,0.1645975170204245,0.33906744183902016
1,3.0,0.6259953455008355,0.2667673568891698,2.0,6,0.0012,0.3040529934949921,0.1649979975971165,0.35922798861166566
2,0.0,0.5984049733416607,0.2950246941285521,2.0,3,0.0006,0.1789501505408943,0.0626375825495297,0.30338027921310856
2,0.25,0.6119085056714669,0.2974476732846584,2.0,3,0.0006,0.2056124959509901,0.0840504302581549,0.31446083238680855
2,0.5,0.5848057955235638,0.2972390275573855,2.0,3,0.0006,0.2328692705320328,0.1044626776065639,0.2875667679661783
2,1.0,0.6171566728266696,0.2915029011330555,2.0,3,0.0006,0.2923072489274232,0.1510906543926355,0.32565377169361415
2,1.5,0.6335383544835996,0.2839723883369188,2.0,6,0.0012,0.3143533572710214,0.1676011213456147,0.34956596614668084
2,2.0,0.5874828351161331,0.2850718425206115,2.0,6,0.0012,0.3171724341059641,0.1696035242290749,0.30241099259552157
2,3.0,0.607137552145429,0.2863988936917516,2.0,6,0.0012,0.3174646624172756,0.1696035242290749,0.3207386584536774
